Point,Corner,mc_iteration,Pass/Fail,Vo
569,LOCAL,569,,1.65
570,LOCAL,570,,1.656
571,LOCAL,571,,1.646
572,LOCAL,572,,1.653
573,LOCAL,573,,1.645
574,LOCAL,574,,1.651
575,LOCAL,575,,1.651
576,LOCAL,576,,1.649
577,LOCAL,577,,1.646
578,LOCAL,578,,1.65
579,LOCAL,579,,1.648
580,LOCAL,580,,1.646
581,LOCAL,581,,1.646
582,LOCAL,582,,1.651
583,LOCAL,583,,1.651
584,LOCAL,584,,1.647
585,LOCAL,585,,1.648
586,LOCAL,586,,1.646
587,LOCAL,587,,1.649
588,LOCAL,588,,1.653
589,LOCAL,589,,1.646
590,LOCAL,590,,1.651
591,LOCAL,591,,1.651
592,LOCAL,592,,1.651
593,LOCAL,593,,1.652
594,LOCAL,594,,1.651
595,LOCAL,595,,1.649
596,LOCAL,596,,1.653
597,LOCAL,597,,1.649
598,LOCAL,598,,1.655
599,LOCAL,599,,1.65
600,LOCAL,600,,1.651
601,LOCAL,601,,1.651
602,LOCAL,602,,1.647
603,LOCAL,603,,1.65
604,LOCAL,604,,1.651
605,LOCAL,605,,1.652
606,LOCAL,606,,1.644
607,LOCAL,607,,1.648
608,LOCAL,608,,1.648
609,LOCAL,609,,1.65
610,LOCAL,610,,1.651
611,LOCAL,611,,1.653
612,LOCAL,612,,1.654
613,LOCAL,613,,1.649
614,LOCAL,614,,1.65
615,LOCAL,615,,1.654
616,LOCAL,616,,1.648
617,LOCAL,617,,1.648
618,LOCAL,618,,1.652
619,LOCAL,619,,1.645
620,LOCAL,620,,1.648
621,LOCAL,621,,1.651
622,LOCAL,622,,1.648
623,LOCAL,623,,1.652
624,LOCAL,624,,1.649
625,LOCAL,625,,1.646
626,LOCAL,626,,1.652
627,LOCAL,627,,1.649
628,LOCAL,628,,1.652
629,LOCAL,629,,1.646
630,LOCAL,630,,1.649
631,LOCAL,631,,1.648
632,LOCAL,632,,1.647
633,LOCAL,633,,1.65
634,LOCAL,634,,1.647
635,LOCAL,635,,1.652
636,LOCAL,636,,1.651
637,LOCAL,637,,1.656
638,LOCAL,638,,1.649
639,LOCAL,639,,1.649
640,LOCAL,640,,1.651
641,LOCAL,641,,1.653
642,LOCAL,642,,1.648
643,LOCAL,643,,1.647
644,LOCAL,644,,1.65
645,LOCAL,645,,1.649
646,LOCAL,646,,1.65
647,LOCAL,647,,1.649
648,LOCAL,648,,1.646
649,LOCAL,649,,1.649
650,LOCAL,650,,1.648
651,LOCAL,651,,1.646
652,LOCAL,652,,1.65
653,LOCAL,653,,1.646
654,LOCAL,654,,1.652
655,LOCAL,655,,1.648
656,LOCAL,656,,1.648
657,LOCAL,657,,1.647
658,LOCAL,658,,1.651
659,LOCAL,659,,1.65
660,LOCAL,660,,1.657
661,LOCAL,661,,1.648
662,LOCAL,662,,1.646
663,LOCAL,663,,1.652
664,LOCAL,664,,1.645
665,LOCAL,665,,1.645
666,LOCAL,666,,1.646
667,LOCAL,667,,1.649
668,LOCAL,668,,1.648
669,LOCAL,669,,1.651
670,LOCAL,670,,1.651
671,LOCAL,671,,1.649
672,LOCAL,672,,1.65
673,LOCAL,673,,1.649
674,LOCAL,674,,1.648
675,LOCAL,675,,1.65
676,LOCAL,676,,1.647
677,LOCAL,677,,1.648
678,LOCAL,678,,1.648
679,LOCAL,679,,1.652
680,LOCAL,680,,1.653
681,LOCAL,681,,1.651
682,LOCAL,682,,1.65
683,LOCAL,683,,1.652
684,LOCAL,684,,1.654
685,LOCAL,685,,1.649
686,LOCAL,686,,1.652
687,LOCAL,687,,1.653
688,LOCAL,688,,1.649
689,LOCAL,689,,1.648
690,LOCAL,690,,1.646
691,LOCAL,691,,1.652
692,LOCAL,692,,1.652
693,LOCAL,693,,1.653
694,LOCAL,694,,1.648
695,LOCAL,695,,1.645
696,LOCAL,696,,1.65
697,LOCAL,697,,1.646
698,LOCAL,698,,1.648
699,LOCAL,699,,1.651
700,LOCAL,700,,1.648
701,LOCAL,701,,1.651
702,LOCAL,702,,1.65
703,LOCAL,703,,1.658
704,LOCAL,704,,1.646
705,LOCAL,705,,1.65
706,LOCAL,706,,1.646
707,LOCAL,707,,1.647
708,LOCAL,708,,1.648
709,LOCAL,709,,1.646
710,LOCAL,710,,1.645
711,LOCAL,711,,1.647
712,LOCAL,712,,1.653
713,LOCAL,713,,1.648
714,LOCAL,714,,1.649
715,LOCAL,715,,1.647
716,LOCAL,716,,1.651
717,LOCAL,717,,1.655
718,LOCAL,718,,1.653
719,LOCAL,719,,1.651
720,LOCAL,720,,1.646
721,LOCAL,721,,1.658
722,LOCAL,722,,1.648
723,LOCAL,723,,1.649
724,LOCAL,724,,1.65
725,LOCAL,725,,1.649
726,LOCAL,726,,1.652
727,LOCAL,727,,1.647
728,LOCAL,728,,1.649
729,LOCAL,729,,1.645
730,LOCAL,730,,1.648
731,LOCAL,731,,1.651
732,LOCAL,732,,1.65
733,LOCAL,733,,1.651
734,LOCAL,734,,1.651
735,LOCAL,735,,1.654
736,LOCAL,736,,1.651
737,LOCAL,737,,1.642
738,LOCAL,738,,1.649
739,LOCAL,739,,1.648
740,LOCAL,740,,1.649
741,LOCAL,741,,1.648
742,LOCAL,742,,1.648
743,LOCAL,743,,1.651
744,LOCAL,744,,1.645
745,LOCAL,745,,1.654
746,LOCAL,746,,1.652
747,LOCAL,747,,1.647
748,LOCAL,748,,1.656
749,LOCAL,749,,1.649
750,LOCAL,750,,1.645
751,LOCAL,751,,1.647
752,LOCAL,752,,1.65
753,LOCAL,753,,1.651
754,LOCAL,754,,1.648
755,LOCAL,755,,1.648
756,LOCAL,756,,1.649
757,LOCAL,757,,1.648
758,LOCAL,758,,1.65
759,LOCAL,759,,1.65
760,LOCAL,760,,1.653
761,LOCAL,761,,1.651
762,LOCAL,762,,1.652
763,LOCAL,763,,1.65
764,LOCAL,764,,1.645
765,LOCAL,765,,1.651
766,LOCAL,766,,1.65
767,LOCAL,767,,1.651
768,LOCAL,768,,1.65
769,LOCAL,769,,1.651
770,LOCAL,770,,1.652
771,LOCAL,771,,1.65
772,LOCAL,772,,1.651
773,LOCAL,773,,1.649
774,LOCAL,774,,1.647
775,LOCAL,775,,1.649
776,LOCAL,776,,1.652
777,LOCAL,777,,1.652
778,LOCAL,778,,1.652
779,LOCAL,779,,1.647
780,LOCAL,780,,1.648
781,LOCAL,781,,1.647
782,LOCAL,782,,1.651
783,LOCAL,783,,1.65
784,LOCAL,784,,1.649
785,LOCAL,785,,1.646
786,LOCAL,786,,1.647
787,LOCAL,787,,1.651
788,LOCAL,788,,1.647
789,LOCAL,789,,1.646
790,LOCAL,790,,1.649
791,LOCAL,791,,1.652
792,LOCAL,792,,1.65
793,LOCAL,793,,1.652
794,LOCAL,794,,1.649
795,LOCAL,795,,1.648
796,LOCAL,796,,1.649
797,LOCAL,797,,1.651
798,LOCAL,798,,1.652
799,LOCAL,799,,1.651
800,LOCAL,800,,1.654
801,LOCAL,801,,1.649
802,LOCAL,802,,1.649
803,LOCAL,803,,1.652
804,LOCAL,804,,1.646
805,LOCAL,805,,1.653
806,LOCAL,806,,1.654
807,LOCAL,807,,1.652
808,LOCAL,808,,1.654
809,LOCAL,809,,1.653
810,LOCAL,810,,1.658
811,LOCAL,811,,1.647
812,LOCAL,812,,1.652
813,LOCAL,813,,1.649
814,LOCAL,814,,1.65
815,LOCAL,815,,1.648
816,LOCAL,816,,1.651
817,LOCAL,817,,1.648
818,LOCAL,818,,1.65
819,LOCAL,819,,1.652
820,LOCAL,820,,1.651
821,LOCAL,821,,1.649
822,LOCAL,822,,1.649
823,LOCAL,823,,1.648
824,LOCAL,824,,1.653
825,LOCAL,825,,1.649
826,LOCAL,826,,1.648
