Point,Corner,mc_iteration,Pass/Fail,Vo
445,LOCAL,445,,767.7e-3
446,LOCAL,446,,763.2e-3
447,LOCAL,447,,765.7e-3
448,LOCAL,448,,767.8e-3
449,LOCAL,449,,772.5e-3
450,LOCAL,450,,776.8e-3
451,LOCAL,451,,770.1e-3
452,LOCAL,452,,762.9e-3
453,LOCAL,453,,768.4e-3
454,LOCAL,454,,765.5e-3
455,LOCAL,455,,767.1e-3
456,LOCAL,456,,767.9e-3
457,LOCAL,457,,761.5e-3
458,LOCAL,458,,766e-3
459,LOCAL,459,,766e-3
460,LOCAL,460,,777.9e-3
461,LOCAL,461,,768e-3
462,LOCAL,462,,766.1e-3
463,LOCAL,463,,774.2e-3
464,LOCAL,464,,763.5e-3
465,LOCAL,465,,765.3e-3
466,LOCAL,466,,767.8e-3
467,LOCAL,467,,767.8e-3
468,LOCAL,468,,766e-3
469,LOCAL,469,,766e-3
470,LOCAL,470,,768.6e-3
471,LOCAL,471,,764.9e-3
472,LOCAL,472,,764.5e-3
473,LOCAL,473,,774e-3
474,LOCAL,474,,763e-3
475,LOCAL,475,,767.9e-3
476,LOCAL,476,,763.9e-3
477,LOCAL,477,,756.9e-3
478,LOCAL,478,,763.9e-3
479,LOCAL,479,,773e-3
480,LOCAL,480,,763.7e-3
481,LOCAL,481,,775.9e-3
482,LOCAL,482,,774.8e-3
483,LOCAL,483,,768.2e-3
484,LOCAL,484,,773.4e-3
485,LOCAL,485,,761.4e-3
486,LOCAL,486,,768.9e-3
487,LOCAL,487,,773.6e-3
488,LOCAL,488,,760.2e-3
489,LOCAL,489,,765.7e-3
490,LOCAL,490,,760.5e-3
491,LOCAL,491,,763.7e-3
492,LOCAL,492,,779.7e-3
493,LOCAL,493,,772.2e-3
494,LOCAL,494,,771.1e-3
495,LOCAL,495,,766.1e-3
496,LOCAL,496,,764.1e-3
497,LOCAL,497,,764.5e-3
498,LOCAL,498,,758.2e-3
499,LOCAL,499,,768.9e-3
500,LOCAL,500,,770.9e-3
501,LOCAL,501,,764.8e-3
502,LOCAL,502,,764.1e-3
503,LOCAL,503,,763.5e-3
504,LOCAL,504,,761.2e-3
505,LOCAL,505,,768.3e-3
506,LOCAL,506,,770.1e-3
507,LOCAL,507,,768.6e-3
508,LOCAL,508,,767.1e-3
509,LOCAL,509,,771.8e-3
510,LOCAL,510,,767e-3
511,LOCAL,511,,761.2e-3
512,LOCAL,512,,771.6e-3
513,LOCAL,513,,766.7e-3
514,LOCAL,514,,766.4e-3
515,LOCAL,515,,768.7e-3
516,LOCAL,516,,757.5e-3
517,LOCAL,517,,771.8e-3
518,LOCAL,518,,766.3e-3
519,LOCAL,519,,765.4e-3
520,LOCAL,520,,760.6e-3
521,LOCAL,521,,765.2e-3
522,LOCAL,522,,779.8e-3
523,LOCAL,523,,768.4e-3
524,LOCAL,524,,761.6e-3
525,LOCAL,525,,771.5e-3
526,LOCAL,526,,769e-3
527,LOCAL,527,,766.8e-3
528,LOCAL,528,,768.9e-3
529,LOCAL,529,,770.5e-3
530,LOCAL,530,,768e-3
531,LOCAL,531,,769.7e-3
532,LOCAL,532,,765.9e-3
533,LOCAL,533,,768.8e-3
534,LOCAL,534,,768.1e-3
535,LOCAL,535,,770.2e-3
536,LOCAL,536,,765.7e-3
537,LOCAL,537,,769.8e-3
538,LOCAL,538,,759e-3
539,LOCAL,539,,767.2e-3
540,LOCAL,540,,761.4e-3
541,LOCAL,541,,764.8e-3
542,LOCAL,542,,772.5e-3
543,LOCAL,543,,772.3e-3
544,LOCAL,544,,773.2e-3
545,LOCAL,545,,762.4e-3
546,LOCAL,546,,767.7e-3
547,LOCAL,547,,768.9e-3
548,LOCAL,548,,764.4e-3
549,LOCAL,549,,768.7e-3
550,LOCAL,550,,767e-3
551,LOCAL,551,,761.4e-3
552,LOCAL,552,,762.6e-3
553,LOCAL,553,,768.2e-3
554,LOCAL,554,,763.6e-3
555,LOCAL,555,,773.3e-3
556,LOCAL,556,,770e-3
557,LOCAL,557,,773e-3
558,LOCAL,558,,766.1e-3
559,LOCAL,559,,768.8e-3
560,LOCAL,560,,768.9e-3
561,LOCAL,561,,765.9e-3
562,LOCAL,562,,769.7e-3
563,LOCAL,563,,764.7e-3
564,LOCAL,564,,764.1e-3
565,LOCAL,565,,772.4e-3
566,LOCAL,566,,765.9e-3
567,LOCAL,567,,767.5e-3
568,LOCAL,568,,761.2e-3
569,LOCAL,569,,763.5e-3
570,LOCAL,570,,764.2e-3
571,LOCAL,571,,759e-3
572,LOCAL,572,,769.4e-3
573,LOCAL,573,,759.7e-3
574,LOCAL,574,,766.6e-3
575,LOCAL,575,,770.4e-3
576,LOCAL,576,,768.1e-3
577,LOCAL,577,,757.4e-3
578,LOCAL,578,,767.7e-3
579,LOCAL,579,,769.5e-3
580,LOCAL,580,,772.2e-3
581,LOCAL,581,,762.3e-3
582,LOCAL,582,,771.9e-3
583,LOCAL,583,,767.2e-3
584,LOCAL,584,,764.9e-3
585,LOCAL,585,,765.2e-3
586,LOCAL,586,,772.2e-3
587,LOCAL,587,,766.2e-3
588,LOCAL,588,,771.7e-3
589,LOCAL,589,,764.2e-3
590,LOCAL,590,,769.3e-3
591,LOCAL,591,,762e-3
592,LOCAL,592,,770.1e-3
593,LOCAL,593,,770.5e-3
594,LOCAL,594,,764.4e-3
595,LOCAL,595,,770e-3
596,LOCAL,596,,771.7e-3
597,LOCAL,597,,762.1e-3
598,LOCAL,598,,770.1e-3
599,LOCAL,599,,763.8e-3
600,LOCAL,600,,770.3e-3
601,LOCAL,601,,765e-3
602,LOCAL,602,,760.4e-3
603,LOCAL,603,,771.1e-3
604,LOCAL,604,,771e-3
605,LOCAL,605,,778.1e-3
606,LOCAL,606,,761.8e-3
607,LOCAL,607,,770.3e-3
608,LOCAL,608,,767.4e-3
609,LOCAL,609,,769.1e-3
610,LOCAL,610,,764.8e-3
611,LOCAL,611,,767.1e-3
612,LOCAL,612,,772.2e-3
613,LOCAL,613,,766.1e-3
614,LOCAL,614,,765.5e-3
615,LOCAL,615,,769e-3
616,LOCAL,616,,764.4e-3
617,LOCAL,617,,772.2e-3
618,LOCAL,618,,756.3e-3
619,LOCAL,619,,767.5e-3
620,LOCAL,620,,768.4e-3
621,LOCAL,621,,768.6e-3
622,LOCAL,622,,766.5e-3
623,LOCAL,623,,758.2e-3
624,LOCAL,624,,766.9e-3
625,LOCAL,625,,769.6e-3
626,LOCAL,626,,767.2e-3
627,LOCAL,627,,769e-3
628,LOCAL,628,,770.5e-3
629,LOCAL,629,,765.5e-3
630,LOCAL,630,,772.9e-3
631,LOCAL,631,,775.1e-3
632,LOCAL,632,,766e-3
633,LOCAL,633,,767.3e-3
634,LOCAL,634,,763.8e-3
635,LOCAL,635,,769.5e-3
636,LOCAL,636,,762.2e-3
637,LOCAL,637,,769.3e-3
638,LOCAL,638,,767.3e-3
639,LOCAL,639,,764.9e-3
640,LOCAL,640,,777.1e-3
641,LOCAL,641,,771.1e-3
642,LOCAL,642,,758.2e-3
643,LOCAL,643,,770.5e-3
644,LOCAL,644,,767.8e-3
645,LOCAL,645,,765.7e-3
646,LOCAL,646,,763.6e-3
647,LOCAL,647,,770.6e-3
648,LOCAL,648,,772.3e-3
649,LOCAL,649,,763.4e-3
650,LOCAL,650,,770.8e-3
651,LOCAL,651,,765.7e-3
652,LOCAL,652,,768.4e-3
653,LOCAL,653,,768.7e-3
654,LOCAL,654,,765.2e-3
655,LOCAL,655,,777.6e-3
656,LOCAL,656,,772.7e-3
657,LOCAL,657,,758.3e-3
658,LOCAL,658,,768.4e-3
659,LOCAL,659,,765.1e-3
660,LOCAL,660,,771e-3
661,LOCAL,661,,771.4e-3
662,LOCAL,662,,775e-3
663,LOCAL,663,,757.9e-3
664,LOCAL,664,,772.2e-3
665,LOCAL,665,,766.2e-3
666,LOCAL,666,,771.6e-3
667,LOCAL,667,,761.7e-3
668,LOCAL,668,,775.1e-3
669,LOCAL,669,,773.9e-3
670,LOCAL,670,,773e-3
671,LOCAL,671,,763.9e-3
672,LOCAL,672,,762e-3
673,LOCAL,673,,770.7e-3
674,LOCAL,674,,765.7e-3
675,LOCAL,675,,763.5e-3
676,LOCAL,676,,768.2e-3
677,LOCAL,677,,778.1e-3
678,LOCAL,678,,771.2e-3
679,LOCAL,679,,766.7e-3
680,LOCAL,680,,763.8e-3
681,LOCAL,681,,766.5e-3
682,LOCAL,682,,768.7e-3
683,LOCAL,683,,766e-3
684,LOCAL,684,,761.2e-3
685,LOCAL,685,,762.2e-3
686,LOCAL,686,,768e-3
687,LOCAL,687,,771.7e-3
